============================================================
Domain:		PST
Dimensions:	12
|S|:		5451776
|A|:		27
|S|x|A|:		147197952
Episode Cap:	1000
Gamma:		0.9
NUM_UAV:		3
============================================================
Representation:		IndependentDiscretizationCompactBinary
Features per action:	52
Binary Dimensions:	[ 6  7  8  9 10 11]
============================================================
Representation:		iFDD
Features per action:	52
Initial Representation:	IndependentDiscretizationCompactBinary
Plus:			1
Sparsify:		1
Cached:			1
Online Threshold:	100.000
Batch Threshold:		100.000
Max Batch Discovery:	20
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/13ICML-BatchiFDD/PST/PST-iFDD-50000-100/2-results.txt
Learning Steps:		50000
Performance Checks:	5
Log Intervals:		1(s)
27010: E[0:03:42]-R[0:03:09]: Return=-179.00, Steps=77, Features = 106
27118: E[0:03:43]-R[0:03:09]: Return=-81.00, Steps=25, Features = 106
27252: E[0:03:44]-R[0:03:07]: Return=-20.00, Steps=27, Features = 106
27364: E[0:03:46]-R[0:03:07]: Return=-61.00, Steps=21, Features = 106
27501: E[0:03:47]-R[0:03:06]: Return=-61.00, Steps=25, Features = 106
27593: E[0:03:48]-R[0:03:05]: Return=-52.00, Steps=11, Features = 106
27772: E[0:03:49]-R[0:03:04]: Return=-65.00, Steps=49, Features = 106
27904: E[0:03:50]-R[0:03:02]: Return=-66.00, Steps=12, Features = 106
27998: E[0:03:51]-R[0:03:02]: Return=-79.00, Steps=27, Features = 106
28136: E[0:03:53]-R[0:03:01]: Return=-56.00, Steps=10, Features = 106
28292: E[0:03:54]-R[0:02:59]: Return=-149.00, Steps=58, Features = 107
28370: E[0:03:55]-R[0:02:59]: Return=-83.00, Steps=34, Features = 107
28520: E[0:03:56]-R[0:02:58]: Return=-49.00, Steps=10, Features = 107
28647: E[0:03:57]-R[0:02:57]: Return=-74.00, Steps=14, Features = 108
