============================================================
Domain:		NetworkAdmin
Dimensions:	5
|S|:		32
|A|:		6
|S|x|A|:		192
Episode Cap:	200
Gamma:		0.9
============================================================
Representation:		Tabular
Starting Features:	32
Aggregated States:	32
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/NetworkAdmin-SARSA-Tabular/6-6-result.txt
Max Steps: 		200000
Performance Checks:	10
86600: E[0:06:55]-R[0:09:03]: Return=273.75, Steps=200, Features = 32
86800: E[0:06:56]-R[0:09:02]: Return=164.50, Steps=200, Features = 32
87200: E[0:06:58]-R[0:09:00]: Return=160.00, Steps=200, Features = 32
87400: E[0:06:59]-R[0:08:59]: Return=133.00, Steps=200, Features = 32
87800: E[0:07:01]-R[0:08:57]: Return=164.50, Steps=200, Features = 32
88200: E[0:07:02]-R[0:08:56]: Return=93.50, Steps=200, Features = 32
88400: E[0:07:04]-R[0:08:55]: Return=188.00, Steps=200, Features = 32
88800: E[0:07:05]-R[0:08:53]: Return=125.50, Steps=200, Features = 32
89000: E[0:07:07]-R[0:08:52]: Return=115.25, Steps=200, Features = 32
89400: E[0:07:08]-R[0:08:50]: Return=96.00, Steps=200, Features = 32
89800: E[0:07:10]-R[0:08:48]: Return=136.00, Steps=200, Features = 32
90200: E[0:07:12]-R[0:08:46]: Return=128.50, Steps=200, Features = 32
90400: E[0:07:13]-R[0:08:45]: Return=94.75, Steps=200, Features = 32
90600: E[0:07:14]-R[0:08:44]: Return=170.75, Steps=200, Features = 32
90800: E[0:07:15]-R[0:08:43]: Return=164.00, Steps=200, Features = 32
91200: E[0:07:17]-R[0:08:41]: Return=247.25, Steps=200, Features = 32
91400: E[0:07:18]-R[0:08:40]: Return=139.50, Steps=200, Features = 32
91800: E[0:07:20]-R[0:08:38]: Return=152.75, Steps=200, Features = 32
92200: E[0:07:22]-R[0:08:36]: Return=198.75, Steps=200, Features = 32
92400: E[0:07:23]-R[0:08:36]: Return=116.50, Steps=200, Features = 32
92800: E[0:07:25]-R[0:08:34]: Return=130.75, Steps=200, Features = 32
93200: E[0:07:27]-R[0:08:32]: Return=202.50, Steps=200, Features = 32
93600: E[0:07:29]-R[0:08:30]: Return=198.00, Steps=200, Features = 32
94000: E[0:07:31]-R[0:08:28]: Return=175.25, Steps=200, Features = 32
94200: E[0:07:32]-R[0:08:27]: Return=147.75, Steps=200, Features = 32
94400: E[0:07:33]-R[0:08:27]: Return=218.25, Steps=200, Features = 32
94800: E[0:07:35]-R[0:08:25]: Return=114.75, Steps=200, Features = 32
95200: E[0:07:37]-R[0:08:23]: Return=92.25, Steps=200, Features = 32
95600: E[0:07:39]-R[0:08:21]: Return=111.50, Steps=200, Features = 32
96000: E[0:07:41]-R[0:08:19]: Return=124.00, Steps=200, Features = 32
96400: E[0:07:42]-R[0:08:17]: Return=160.75, Steps=200, Features = 32
96600: E[0:07:43]-R[0:08:16]: Return=106.50, Steps=200, Features = 32
96800: E[0:07:45]-R[0:08:15]: Return=185.50, Steps=200, Features = 32
97000: E[0:07:46]-R[0:08:14]: Return=162.25, Steps=200, Features = 32
97400: E[0:07:48]-R[0:08:13]: Return=101.00, Steps=200, Features = 32
97800: E[0:07:49]-R[0:08:11]: Return=130.25, Steps=200, Features = 32
98200: E[0:07:51]-R[0:08:09]: Return=120.50, Steps=200, Features = 32
98600: E[0:07:53]-R[0:08:07]: Return=100.00, Steps=200, Features = 32
99000: E[0:07:55]-R[0:08:05]: Return=160.75, Steps=200, Features = 32
99200: E[0:07:56]-R[0:08:04]: Return=130.75, Steps=200, Features = 32
99400: E[0:07:57]-R[0:08:03]: Return=142.50, Steps=200, Features = 32
99800: E[0:07:59]-R[0:08:01]: Return=146.75, Steps=200, Features = 32
100000 >>> E[0:08:00]-R[0:08:00]: Return=137.00, Steps=200, Features = 32
100400: E[0:08:02]-R[0:07:58]: Return=223.75, Steps=200, Features = 32
100800: E[0:08:04]-R[0:07:56]: Return=122.50, Steps=200, Features = 32
101200: E[0:08:06]-R[0:07:54]: Return=158.25, Steps=200, Features = 32
101600: E[0:08:08]-R[0:07:52]: Return=172.50, Steps=200, Features = 32
102000: E[0:08:10]-R[0:07:50]: Return=99.75, Steps=200, Features = 32
102400: E[0:08:11]-R[0:07:48]: Return=174.25, Steps=200, Features = 32
102800: E[0:08:13]-R[0:07:46]: Return=234.00, Steps=200, Features = 32
103000: E[0:08:14]-R[0:07:45]: Return=186.00, Steps=200, Features = 32
103200: E[0:08:15]-R[0:07:44]: Return=132.25, Steps=200, Features = 32
103400: E[0:08:16]-R[0:07:44]: Return=138.50, Steps=200, Features = 32
103600: E[0:08:17]-R[0:07:43]: Return=132.00, Steps=200, Features = 32
103800: E[0:08:18]-R[0:07:42]: Return=136.50, Steps=200, Features = 32
104000: E[0:08:20]-R[0:07:41]: Return=129.25, Steps=200, Features = 32
104200: E[0:08:21]-R[0:07:40]: Return=163.00, Steps=200, Features = 32
104400: E[0:08:22]-R[0:07:40]: Return=133.75, Steps=200, Features = 32
104600: E[0:08:23]-R[0:07:39]: Return=180.50, Steps=200, Features = 32
104800: E[0:08:24]-R[0:07:38]: Return=151.25, Steps=200, Features = 32
