============================================================
Domain:		PST
Dimensions:	12
|S|:		5451776
|A|:		27
|S|x|A|:		147197952
Episode Cap:	1000
Gamma:		0.9
NUM_UAV:		3
============================================================
Representation:		IndependentDiscretizationCompactBinary
Features per action:	52
Binary Dimensions:	[ 6  7  8  9 10 11]
============================================================
Representation:		iFDD
Features per action:	52
Initial Representation:	IndependentDiscretizationCompactBinary
Plus:			1
Sparsify:		1
Cached:			1
Online Threshold:	100.000
Batch Threshold:		100.000
Max Batch Discovery:	20
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/13ICML-BatchiFDD/PST/PST-iFDD-50000-100/5-results.txt
Learning Steps:		50000
Performance Checks:	5
Log Intervals:		1(s)
36250: E[0:04:57]-R[0:01:53]: Return=-72.00, Steps=26, Features = 110
36362: E[0:04:58]-R[0:01:52]: Return=32.00, Steps=25, Features = 110
36494: E[0:04:59]-R[0:01:51]: Return=-62.00, Steps=14, Features = 110
36597: E[0:05:00]-R[0:01:50]: Return=-69.00, Steps=12, Features = 110
36689: E[0:05:01]-R[0:01:49]: Return=-69.00, Steps=10, Features = 110
36790: E[0:05:03]-R[0:01:49]: Return=11.00, Steps=42, Features = 110
36974: E[0:05:04]-R[0:01:47]: Return=-105.00, Steps=60, Features = 110
37071: E[0:05:05]-R[0:01:46]: Return=-24.00, Steps=25, Features = 110
37197: E[0:05:06]-R[0:01:45]: Return=-63.00, Steps=79, Features = 110
37315: E[0:05:07]-R[0:01:45]: Return=-73.00, Steps=12, Features = 110
37558: E[0:05:09]-R[0:01:42]: Return=-204.00, Steps=143, Features = 110
37789: E[0:05:11]-R[0:01:40]: Return=22.00, Steps=101, Features = 110
37971: E[0:05:12]-R[0:01:39]: Return=-227.00, Steps=156, Features = 110
38119: E[0:05:13]-R[0:01:38]: Return=-64.00, Steps=15, Features = 110
38317: E[0:05:14]-R[0:01:36]: Return=-99.00, Steps=55, Features = 110
